source,layer,name,lat,lon,addendum_json_gbif,addendum_json_georg
GBIF,s-fbo,"Åsele lappmark, Vilhelmina sn, Klimpfjäll, Bealloevaerie, Saxån, Suevniejohke",65.13,14.53,"{""institutionCode"":""S"",""collectionCode"":""VascularPlants"",""occurrenceID"":""S:VascularPlants:S09-3761"",""catalogNumber"":""S09-3761"",""higherGeography"":""Europe; Sweden; Åsele lappmark; Vilhelmina"",""continent"":""Europe"",""country"":""Sweden"",""countryCode"":""SE"",""stateProvince"":""Åsele lappmark"",""locality"":""Åsele lappmark: Vilhelmina sn, c. 15 km VNV om Klimpfjäll, 2200 m. NNV om Bealloevaerie, toppen (1012 m), 1450 m NO om bro över Saxån (Suevniejohke), rished. 23E 5i 0402. 7225409, 1440203. 2007-07-22. Göran Odelvik 8999"",""verbatimLocality"":""Åsele lappmark: Vilhelmina sn, c. 15 km VNV om Klimpfjäll, 2200 m. NNV om Bealloevaerie, toppen (1012 m), 1450 m NO om bro över Saxån (Suevniejohke), rished. 23E 5i 0402. 7225409, 1440203. 2007-07-22. Göran Odelvik 8999"",""decimalLatitude"":""14.53"",""decimalLongitude"":""65.13""}","{""locationDisplayLabel"":""Bealloevaerie, Saxån, Suevniejohke"",""verbatimTokens"":[""Åsele lappmark"",""Vilhelmina sn"",""Klimpfjäll"",""Bealloevaerie"",""Saxån"",""Suevniejohke""]}"
GBIF,s-fbo,"Åsele lappmark, Vilhelmina sn, Klimpfjäll, Bealloevaerie, Saxån, Suevniejohke",65.13,14.53,"{""institutionCode"":""S"",""collectionCode"":""VascularPlants"",""occurrenceID"":""S:VascularPlants:S09-3760"",""catalogNumber"":""S09-3760"",""higherGeography"":""Europe; Sweden; Åsele lappmark; Vilhelmina"",""continent"":""Europe"",""country"":""Sweden"",""countryCode"":""SE"",""stateProvince"":""Åsele lappmark"",""locality"":""Åsele lappmark: Vilhelmina sn, c. 15 km VNV om Klimpfjäll, 2200 m. NNV om Bealloevaerie, toppen (1012 m), 1450 m NO om bro över Saxån (Suevniejohke), rished. 23E 5i 0402. 7225409, 1440203. 2007-07-22. Göran Odelvik 8998"",""verbatimLocality"":""Åsele lappmark: Vilhelmina sn, c. 15 km VNV om Klimpfjäll, 2200 m. NNV om Bealloevaerie, toppen (1012 m), 1450 m NO om bro över Saxån (Suevniejohke), rished. 23E 5i 0402. 7225409, 1440203. 2007-07-22. Göran Odelvik 8998"",""decimalLatitude"":""14.53"",""decimalLongitude"":""65.13""}","{""locationDisplayLabel"":""Bealloevaerie, Saxån, Suevniejohke"",""verbatimTokens"":[""Åsele lappmark"",""Vilhelmina sn"",""Klimpfjäll"",""Bealloevaerie"",""Saxån"",""Suevniejohke""]}"
GBIF,s-fbo,"Åsele lappmark, Vilhelmina sn, Klimpfjäll, Bealloevaerie, Saxån, Suevniejohke",65.13,14.53,"{""institutionCode"":""S"",""collectionCode"":""VascularPlants"",""occurrenceID"":""S:VascularPlants:S09-3759"",""catalogNumber"":""S09-3759"",""higherGeography"":""Europe; Sweden; Åsele lappmark; Vilhelmina"",""continent"":""Europe"",""country"":""Sweden"",""countryCode"":""SE"",""stateProvince"":""Åsele lappmark"",""locality"":""Åsele lappmark: Vilhelmina sn, c. 15 km VNV om Klimpfjäll, 2200 m. NNV om Bealloevaerie, toppen (1012 m), 1450 m NO om bro över Saxån (Suevniejohke), rished. 23E 5i 0402. 7225409, 1440203. 2007-07-22. Göran Odelvik 8997"",""verbatimLocality"":""Åsele lappmark: Vilhelmina sn, c. 15 km VNV om Klimpfjäll, 2200 m. NNV om Bealloevaerie, toppen (1012 m), 1450 m NO om bro över Saxån (Suevniejohke), rished. 23E 5i 0402. 7225409, 1440203. 2007-07-22. Göran Odelvik 8997"",""decimalLatitude"":""14.53"",""decimalLongitude"":""65.13""}","{""locationDisplayLabel"":""Bealloevaerie, Saxån, Suevniejohke"",""verbatimTokens"":[""Åsele lappmark"",""Vilhelmina sn"",""Klimpfjäll"",""Bealloevaerie"",""Saxån"",""Suevniejohke""]}"
GBIF,s-fbo,"Åsele lappmark, Vilhelmina sn, Klimpfjäll, Bealloevaerie, Saxån, Suevniejohke",65.13,14.53,"{""institutionCode"":""S"",""collectionCode"":""VascularPlants"",""occurrenceID"":""S:VascularPlants:S09-3764"",""catalogNumber"":""S09-3764"",""higherGeography"":""Europe; Sweden; Åsele lappmark; Vilhelmina"",""continent"":""Europe"",""country"":""Sweden"",""countryCode"":""SE"",""stateProvince"":""Åsele lappmark"",""locality"":""Åsele lappmark: Vilhelmina sn, c. 15 km VNV om Klimpfjäll, 2200 m. NNV om Bealloevaerie, toppen (1012 m), 1450 m NO om bro över Saxån (Suevniejohke), rished. 23E 5i 0402. 7225409, 1440203. 2007-07-22. Göran Odelvik 9002"",""verbatimLocality"":""Åsele lappmark: Vilhelmina sn, c. 15 km VNV om Klimpfjäll, 2200 m. NNV om Bealloevaerie, toppen (1012 m), 1450 m NO om bro över Saxån (Suevniejohke), rished. 23E 5i 0402. 7225409, 1440203. 2007-07-22. Göran Odelvik 9002"",""decimalLatitude"":""14.53"",""decimalLongitude"":""65.13""}","{""locationDisplayLabel"":""Bealloevaerie, Saxån, Suevniejohke"",""verbatimTokens"":[""Åsele lappmark"",""Vilhelmina sn"",""Klimpfjäll"",""Bealloevaerie"",""Saxån"",""Suevniejohke""]}"
GBIF,s-fbo,"Åsele lappmark, Vilhelmina sn, Klimpfjäll, Bealloevaerie, Saxån, Suevniejohke",65.13,14.53,"{""institutionCode"":""S"",""collectionCode"":""VascularPlants"",""occurrenceID"":""S:VascularPlants:S09-3765"",""catalogNumber"":""S09-3765"",""higherGeography"":""Europe; Sweden; Åsele lappmark; Vilhelmina"",""continent"":""Europe"",""country"":""Sweden"",""countryCode"":""SE"",""stateProvince"":""Åsele lappmark"",""locality"":""Åsele lappmark: Vilhelmina sn, c. 15 km VNV om Klimpfjäll, 2200 m. NNV om Bealloevaerie, toppen (1012 m), 1450 m NO om bro över Saxån (Suevniejohke), rished. 23E 5i 0402. 7225409, 1440203. 2007-07-22. Göran Odelvik 9003"",""verbatimLocality"":""Åsele lappmark: Vilhelmina sn, c. 15 km VNV om Klimpfjäll, 2200 m. NNV om Bealloevaerie, toppen (1012 m), 1450 m NO om bro över Saxån (Suevniejohke), rished. 23E 5i 0402. 7225409, 1440203. 2007-07-22. Göran Odelvik 9003"",""decimalLatitude"":""14.53"",""decimalLongitude"":""65.13""}","{""locationDisplayLabel"":""Bealloevaerie, Saxån, Suevniejohke"",""verbatimTokens"":[""Åsele lappmark"",""Vilhelmina sn"",""Klimpfjäll"",""Bealloevaerie"",""Saxån"",""Suevniejohke""]}"
GBIF,s-fbo,"Gästrikland, Årsunda sn, Årsunda kyrka, Åshuvudsvägen, Prästbordsvägen",60.53,16.74,"{""institutionCode"":""S"",""collectionCode"":""VascularPlants"",""occurrenceID"":""S:VascularPlants:S09-3807"",""catalogNumber"":""S09-3807"",""higherGeography"":""Europe; Sweden; Gästrikland; Årsunda"",""continent"":""Europe"",""country"":""Sweden"",""countryCode"":""SE"",""stateProvince"":""Gästrikland"",""locality"":""Gästrikland: Årsunda sn, 350 m. N om Årsunda kyrka, strax V om Åshuvudsvägen, vid Prästbordsvägen, lövträdsdunge. 13H 2a 2313. 6712331, 1551395. 2007-08-03. Göran Odelvik 9045"",""verbatimLocality"":""Gästrikland: Årsunda sn, 350 m. N om Årsunda kyrka, strax V om Åshuvudsvägen, vid Prästbordsvägen, lövträdsdunge. 13H 2a 2313. 6712331, 1551395. 2007-08-03. Göran Odelvik 9045"",""decimalLatitude"":""16.74"",""decimalLongitude"":""60.53""}","{""locationDisplayLabel"":""Årsunda kyrka, Åshuvudsvägen, Prästbordsvägen"",""verbatimTokens"":[""Gästrikland"",""Årsunda sn"",""Årsunda kyrka"",""Åshuvudsvägen"",""Prästbordsvägen""]}"
GBIF,s-fbo,"Gästrikland, Årsunda sn, Årsunda kyrka, Åshuvudsvägen, Prästbordsvägen",60.53,16.74,"{""institutionCode"":""S"",""collectionCode"":""VascularPlants"",""occurrenceID"":""S:VascularPlants:S09-3806"",""catalogNumber"":""S09-3806"",""higherGeography"":""Europe; Sweden; Gästrikland; Årsunda"",""continent"":""Europe"",""country"":""Sweden"",""countryCode"":""SE"",""stateProvince"":""Gästrikland"",""locality"":""Gästrikland: Årsunda sn, 350 m. N om Årsunda kyrka, strax V om Åshuvudsvägen, vid Prästbordsvägen, sandig gräsmark. 13H 2a 2313. 6712331, 1551395. 2007-08-03. Göran Odelvik 9044"",""verbatimLocality"":""Gästrikland: Årsunda sn, 350 m. N om Årsunda kyrka, strax V om Åshuvudsvägen, vid Prästbordsvägen, sandig gräsmark. 13H 2a 2313. 6712331, 1551395. 2007-08-03. Göran Odelvik 9044"",""decimalLatitude"":""16.74"",""decimalLongitude"":""60.53""}","{""locationDisplayLabel"":""Årsunda kyrka, Åshuvudsvägen, Prästbordsvägen"",""verbatimTokens"":[""Gästrikland"",""Årsunda sn"",""Årsunda kyrka"",""Åshuvudsvägen"",""Prästbordsvägen""]}"
GBIF,s-fbo,"Gästrikland, Årsunda sn, Årsunda kyrka, Åshuvudsvägen, Prästbordsvägen",60.53,16.74,"{""institutionCode"":""S"",""collectionCode"":""VascularPlants"",""occurrenceID"":""S:VascularPlants:S09-3805"",""catalogNumber"":""S09-3805"",""higherGeography"":""Europe; Sweden; Gästrikland; Årsunda"",""continent"":""Europe"",""country"":""Sweden"",""countryCode"":""SE"",""stateProvince"":""Gästrikland"",""locality"":""Gästrikland: Årsunda sn, 350 m. N om Årsunda kyrka, strax V om Åshuvudsvägen, vid Prästbordsvägen, sandig gräsmark. 13H 2a 2313. 6712331, 1551395. 2007-08-03. Göran Odelvik 9043"",""verbatimLocality"":""Gästrikland: Årsunda sn, 350 m. N om Årsunda kyrka, strax V om Åshuvudsvägen, vid Prästbordsvägen, sandig gräsmark. 13H 2a 2313. 6712331, 1551395. 2007-08-03. Göran Odelvik 9043"",""decimalLatitude"":""16.74"",""decimalLongitude"":""60.53""}","{""locationDisplayLabel"":""Årsunda kyrka, Åshuvudsvägen, Prästbordsvägen"",""verbatimTokens"":[""Gästrikland"",""Årsunda sn"",""Årsunda kyrka"",""Åshuvudsvägen"",""Prästbordsvägen""]}"
GBIF,s-fbo,"Gästrikland, Ovansjö sn, Säljan, Stensätra kyrka, Storsjön, Västerfjärdens, Lundagatan",60.59,16.75,"{""institutionCode"":""S"",""collectionCode"":""VascularPlants"",""occurrenceID"":""S:VascularPlants:S09-3804"",""catalogNumber"":""S09-3804"",""higherGeography"":""Europe; Sweden; Gästrikland; Ovansjö"",""continent"":""Europe"",""country"":""Sweden"",""countryCode"":""SE"",""stateProvince"":""Gästrikland"",""locality"":""Gästrikland: Ovansjö sn, Säljan, 1600 m SO om Stensätra kyrka, vid Storsjön, Västerfjärdens NO-ände, strax S om Lundagatan, gräsmark. 13H 3a 4516. 6719504, 1551686. 2007-08-03. Göran Odelvik 9042"",""verbatimLocality"":""Gästrikland: Ovansjö sn, Säljan, 1600 m SO om Stensätra kyrka, vid Storsjön, Västerfjärdens NO-ände, strax S om Lundagatan, gräsmark. 13H 3a 4516. 6719504, 1551686. 2007-08-03. Göran Odelvik 9042"",""decimalLatitude"":""16.75"",""decimalLongitude"":""60.59""}","{""locationDisplayLabel"":""Storsjön, Västerfjärdens, Lundagatan"",""verbatimTokens"":[""Gästrikland"",""Ovansjö sn"",""Säljan"",""Stensätra kyrka"",""Storsjön"",""Västerfjärdens"",""Lundagatan""]}"
GBIF,s-fbo,"Gästrikland, Årsunda sn, Bohällan, Fallas, Erik-Lars",60.50,16.69,"{""institutionCode"":""S"",""collectionCode"":""VascularPlants"",""occurrenceID"":""S:VascularPlants:S09-3817"",""catalogNumber"":""S09-3817"",""higherGeography"":""Europe; Sweden; Gästrikland; Årsunda"",""continent"":""Europe"",""country"":""Sweden"",""countryCode"":""SE"",""stateProvince"":""Gästrikland"",""locality"":""Gästrikland: Årsunda sn, 1200 m SSV om Bohällan, Fallas, strax N om Erik-Lars, skogsbryn, stort bestånd. 13G 1j 4734. 6709789, 1548491. 2007-08-03. Göran Odelvik 9055"",""verbatimLocality"":""Gästrikland: Årsunda sn, 1200 m SSV om Bohällan, Fallas, strax N om Erik-Lars, skogsbryn, stort bestånd. 13G 1j 4734. 6709789, 1548491. 2007-08-03. Göran Odelvik 9055"",""decimalLatitude"":""16.69"",""decimalLongitude"":""60.50""}","{""locationDisplayLabel"":""Bohällan, Fallas, Erik-Lars"",""verbatimTokens"":[""Gästrikland"",""Årsunda sn"",""Bohällan"",""Fallas"",""Erik-Lars""]}"
GBIF,s-fbo,"Gästrikland, Årsunda sn, Bohällan, Fallas, Erik-Lars",60.50,16.69,"{""institutionCode"":""S"",""collectionCode"":""VascularPlants"",""occurrenceID"":""S:VascularPlants:S09-3816"",""catalogNumber"":""S09-3816"",""higherGeography"":""Europe; Sweden; Gästrikland; Årsunda"",""continent"":""Europe"",""country"":""Sweden"",""countryCode"":""SE"",""stateProvince"":""Gästrikland"",""locality"":""Gästrikland: Årsunda sn, 1200 m SSV om Bohällan, Fallas, strax N om Erik-Lars, vid ladugård, skräpmark. 13G 1j 4734. 6709787, 1548448. 2007-08-03. Göran Odelvik 9054"",""verbatimLocality"":""Gästrikland: Årsunda sn, 1200 m SSV om Bohällan, Fallas, strax N om Erik-Lars, vid ladugård, skräpmark. 13G 1j 4734. 6709787, 1548448. 2007-08-03. Göran Odelvik 9054"",""decimalLatitude"":""16.69"",""decimalLongitude"":""60.50""}","{""locationDisplayLabel"":""Bohällan, Fallas, Erik-Lars"",""verbatimTokens"":[""Gästrikland"",""Årsunda sn"",""Bohällan"",""Fallas"",""Erik-Lars""]}"
GBIF,s-fbo,"Gästrikland, Årsunda sn, Bohällan, Fallas, Erik-Lars",60.50,16.69,"{""institutionCode"":""S"",""collectionCode"":""VascularPlants"",""occurrenceID"":""S:VascularPlants:S09-3815"",""catalogNumber"":""S09-3815"",""higherGeography"":""Europe; Sweden; Gästrikland; Årsunda"",""continent"":""Europe"",""country"":""Sweden"",""countryCode"":""SE"",""stateProvince"":""Gästrikland"",""locality"":""Gästrikland: Årsunda sn, 1200 m SSV om Bohällan, Fallas, strax N om Erik-Lars, vid ladugård, skräpmark. 13G 1j 4734. 6709787, 1548448. 2007-08-03. Göran Odelvik 9053"",""verbatimLocality"":""Gästrikland: Årsunda sn, 1200 m SSV om Bohällan, Fallas, strax N om Erik-Lars, vid ladugård, skräpmark. 13G 1j 4734. 6709787, 1548448. 2007-08-03. Göran Odelvik 9053"",""decimalLatitude"":""16.69"",""decimalLongitude"":""60.50""}","{""locationDisplayLabel"":""Bohällan, Fallas, Erik-Lars"",""verbatimTokens"":[""Gästrikland"",""Årsunda sn"",""Bohällan"",""Fallas"",""Erik-Lars""]}"
GBIF,s-fbo,"Gästrikland, Årsunda sn, Bohällan, Fallas, Erik-Lars",60.50,16.69,"{""institutionCode"":""S"",""collectionCode"":""VascularPlants"",""occurrenceID"":""S:VascularPlants:S09-3814"",""catalogNumber"":""S09-3814"",""higherGeography"":""Europe; Sweden; Gästrikland; Årsunda"",""continent"":""Europe"",""country"":""Sweden"",""countryCode"":""SE"",""stateProvince"":""Gästrikland"",""locality"":""Gästrikland: Årsunda sn, 1200 m SSV om Bohällan, Fallas, strax N om Erik-Lars, vid ladugård, skräpmark. 13G 1j 4734. 6709787, 1548448. 2007-08-03. Göran Odelvik 9052"",""verbatimLocality"":""Gästrikland: Årsunda sn, 1200 m SSV om Bohällan, Fallas, strax N om Erik-Lars, vid ladugård, skräpmark. 13G 1j 4734. 6709787, 1548448. 2007-08-03. Göran Odelvik 9052"",""decimalLatitude"":""16.69"",""decimalLongitude"":""60.50""}","{""locationDisplayLabel"":""Bohällan, Fallas, Erik-Lars"",""verbatimTokens"":[""Gästrikland"",""Årsunda sn"",""Bohällan"",""Fallas"",""Erik-Lars""]}"
